#---EXFOR Request #1057
#---EXFOR Standard Output---
#=============================================================================
#DATASET        K21850022
#NOW            2022/01/17:06:13:49
#SUBENT         K2185002   20121027
#ENTRY          K2185      20121027
#AUTHOR1        N.Mutsuro+
#YEAR           1962
#X4REF1         J,JPJ,17,(10),1672,196210
#REFERENCE1     Jour: Journal of the Physical Society of Japan, Vol.17, Issue.10, p.1672 (1962)
#REACTION       13-AL-27(G,N)13-AL-26,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,N),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        2
#HEADER         7           2           12
!DATA        EN          
!MB          MEV         
!Y.Value     X1.Value    
!0.1         1.1         
!variable    variable    
!0.001       1000000.0   
!B           EV          
#DATA           45          2           12
 21.2        20.9        
 12.9        21.2        
 6.4         21.6        
 9.5         21.8        
 22.4        21.9        
 24.8        22.1        
 23.9        22.4        
 19.5        22.7        
 12.1        23.         
 12.1        23.2        
 11.5        23.5        
 9.1         23.7        
 6.          24.1        
#ENDDATA        13          2
#Legend         2           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     K21850022
#=============================================================================
#DATASET        L0010005 
#NOW            2022/01/17:06:13:49
#SUBENT         L0010005   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (13-AL-27(G,N)13-AL-26,,SIG)+(13-AL-27(G,N+P)12-MG-25,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           160         3           12
 6.053                   19.286                  
 6.202                   19.506                  
 6.258       0.148       19.729      0.564       
 6.205                   20.352                  
 6.262                   20.801                  
 6.338                   21.362                  
 6.193                   21.706                  
 5.954                   21.941                  
 5.716                   22.176                  
 5.496                   22.41                   
 5.202                   22.591                  
 4.944                   22.714                  
 4.632                   22.84                   
 4.356                   23.02                   
 4.062                   23.201                  
 3.787                   23.381                  
 3.53                    23.56                   
 3.255                   23.797                  
 3.016                   24.088                  
 2.796                   24.323                  
 2.595                   24.669                  
 2.395                   25.128                  
 2.175                   25.475                  
 1.956                   25.935                  
 1.682                   26.398                  
 1.463                   26.857                  
 1.281                   27.316                  
 1.155                   27.998                  
 1.231                   28.615                  
 1.252       0.129       29.291      0.903       
 1.163                   30.084                  
 1.                      30.711                  
 0.892                   31.279                  
 0.821                   31.846                  
 0.806                   32.636                  
 0.826                   33.087                  
 0.755                   33.597                  
 0.721                   34.388                  
 0.706                   35.178                  
 0.691                   35.968                  
 0.676                   36.702                  
 0.661                   37.436                  
 0.571       0.148       38.06                   
 0.481                   38.628                  
 0.467                   39.474                  
 0.543                   40.204                  
 0.639                   40.934                  
 0.641                   41.554                  
 0.571                   42.29                   
 0.481                   42.97                   
 0.392                   43.594                  
 0.303                   44.331                  
 0.233                   45.123                  
 0.236                   45.969                  
 0.295                   46.7                    
 0.426                   47.372                  
 0.576                   47.873                  
 0.744                   48.431                  
 0.876                   49.102                  
 0.952       0.184       49.663      1.129       
 0.789                   50.346                  
 0.626                   50.917                  
 0.444                   51.432                  
 0.281                   52.115                  
 0.228                   52.681                  
 0.323                   53.298                  
 0.455                   54.026                  
 0.66                    54.638                  
 0.865                   55.194                  
 1.015                   55.752                  
 1.11        0.184       56.481      1.354       
 0.966                   57.22                   
 0.765                   57.792                  
 0.565                   58.364                  
 0.365                   58.88                   
 0.221                   59.675                  
 0.206                   60.409                  
 0.246                   61.309                  
 0.231                   62.1                    
 0.143                   63.118                  
#ENDDATA        107         4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
