#---EXFOR Request #1050
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0010002 
#NOW            2022/01/17:06:06:20
#SUBENT         L0010002   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (6-C-12(G,N)6-C-11,,SIG)+(6-C-12(G,N+P)5-B-10,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           165         3           12
 3.73                    2.          26.601                  
 3.379                   2.          26.746                  
 3.221                   2.          26.939                  
 3.397                   2.          27.133                  
 3.642                   2.          27.29                   
 3.818                   2.          27.483                  
 3.818                   2.          27.64       0.29        
 3.625                   2.          27.785                  
 3.344                   2.          27.93                   
 3.011                   2.          28.076                  
 2.66                    2.          28.196                  
 2.327                   2.          28.305                  
 2.029                   2.          28.462                  
 1.853                   2.          28.62                   
 1.818                   2.          28.765                  
 1.958                   2.          28.934                  
 2.222                   2.          29.091                  
 2.485                   2.          29.236                  
 2.713                   2.          29.381                  
 2.818       0.246       2.          29.502      0.375       
 2.66                    2.          29.695                  
 2.485                   2.          29.889                  
 2.309                   2.          30.07                   
 2.186                   2.          30.288                  
 2.186                   2.          30.542                  
 2.169                   2.          30.82                   
 2.046                   2.          31.05                   
 1.993                   2.          31.388                  
 1.976                   2.          31.714                  
 1.871                   2.          32.005                  
 1.713                   2.          32.234                  
 1.485                   2.          32.464                  
 1.344                   2.          32.657                  
 1.537       0.351       2.          32.923                  
 1.871                   2.          33.105                  
 2.344       0.86        2.          33.286                  
#ENDDATA        142         5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-1       : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-4         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-5         : Error       : variable    
#+   Rank      : 1.922       : X1.Resl+-   
#+   Type      : 41          : 2.922       
#+   Header    : EN-RSL-FW   : [Uncertainty: +-resolution]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0115002 
#=============================================================================
#DATASET        L0115003 
#NOW            2022/01/17:06:06:20
#SUBENT         L0115003   20150116
#ENTRY          L0115      20150116
#AUTHOR1        B.C.Cook+
#YEAR           1966
#X4REF1         J,PR,143,724,1966
#REFERENCE1     Jour: Physical Review, Vol.143, p.724 (1966)
#REACTION       6-C-12(G,N)6-C-11,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,N),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        5
#HEADER         7           5           12
!DATA        DATA-ERR    ERR-1       EN          EN-RSL-FW   
!MB          MB          PER-CENT    MEV         MEV         
!Y.Value     Y.Err+-     Y.pErr+-    X1.Value    X1.Resl+-   
!0.1         0.911       0.955       1.1         1.922       
!variable    variable    const       variable    variable    
!0.001       0.001       1.0         1000000.0   1000000.0   
!B           B           PER-CENT    EV          EV          
#DATA           101         5           12
 0.101                   2.          19.201                  
 0.222                   2.          19.318                  
 0.309                   2.          19.388                  
 0.311                   2.          19.627                  
 0.416                   2.          19.745                  
 0.556                   2.          19.957                  
 0.713                   2.          20.146                  
 0.939                   2.          20.285                  
 1.233                   2.          20.4                    
 1.528                   2.          20.515                  
 1.805                   2.          20.63                   
 2.048                   2.          20.746                  
 2.326                   2.          20.909                  
 2.621                   2.          21.047                  
 3.105                   2.          21.088                  
 3.761                   2.          21.102                  
 2.846                   2.          21.115                  
 3.451                   2.          21.13                   
 4.056                   2.          21.169                  
 4.333                   2.          21.26                   
 4.662                   2.          21.35                   
 4.991                   2.          21.441                  
 5.268                   2.          21.508                  
 5.562                   2.          21.528                  
 5.908                   2.          21.57                   
 6.271                   2.          21.589                  
 6.599                   2.          21.631                  
 6.962                   2.          21.674                  
 7.326                   2.          21.74                   
 7.724                   2.          21.805                  
 8.104                   2.          21.871                  
 8.365                   2.          22.034                  
 8.575                   2.          22.341                  
 8.388                   2.          22.726                  
 8.786                   2.          22.863                  
 8.891                   2.          23.076                  
 8.91                    2.          23.243                  
 9.068                   2.          23.503                  
 8.827                   2.          23.673                  
 8.431                   2.          23.798                  
 7.913                   2.          23.878                  
 7.378                   2.          23.981                  
 6.844                   2.          24.109                  
 6.326                   2.          24.188                  
 5.774                   2.          24.292                  
 5.377                   2.          24.393                  
 4.98                    2.          24.471                  
 4.67                    2.          24.547                  
 4.446                   2.          24.646                  
 4.223                   2.          24.816                  
 4.432                   2.          25.004                  
 4.778                   2.          25.142                  
 5.125                   2.          25.28                   
 5.455                   2.          25.465                  
 5.716       0.104       2.          25.748      0.406       
 5.442                   2.          26.014                  
 5.08                    2.          26.211                  
 4.719                   2.          26.359                  
 4.391                   2.          26.483                  
 4.081                   2.          26.607                  
 3.72                    2.          26.756                  
 3.514                   2.          26.95                   
 3.309                   2.          27.287                  
 3.14                    2.          27.671                  
 2.918                   2.          28.032                  
 2.713                   2.          28.322                  
 2.474                   2.          28.707                  
 2.356                   2.          29.091                  
 2.432       0.156       2.          29.9        0.619       
 2.246                   2.          30.5                    
 2.043                   2.          30.98                   
 1.839                   2.          31.412                  
 1.739                   2.          31.891                  
 1.811                   2.          32.319                  
 1.816       0.121       2.          32.844      0.167       
 1.629                   2.          33.3                    
 1.477                   2.          33.756                  
 1.273                   2.          34.14                   
 1.087                   2.          34.668                  
 1.108                   2.          35.097                  
 1.216                   2.          35.716                  
 1.325       0.104       2.          36.406      0.81        
 1.191                   2.          36.957                  
 1.094                   2.          37.721                  
 1.082                   2.          38.461                  
 1.07                    2.          39.058                  
 1.111                   2.          39.844                  
 0.977                   2.          40.419                  
 0.877                   2.          40.897                  
 0.883                   2.          41.613                  
 0.939                   2.          42.185                  
 0.997                   2.          42.971                  
 1.002       0.087       2.          43.615      1.12        
 0.887                   2.          44.285                  
 0.683                   2.          44.789                  
 0.463                   2.          45.317                  
 0.433                   2.          45.961                  
 0.715       0.138       2.          46.673                  
 0.909                   2.          47.099                  
 1.12                    2.          47.597                  
 1.331       0.467       2.          48.071                  
#ENDDATA        101         5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-1       : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-4         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-5         : Error       : variable    
#+   Rank      : 1.922       : X1.Resl+-   
#+   Type      : 41          : 2.922       
#+   Header    : EN-RSL-FW   : [Uncertainty: +-resolution]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0115003 
#=============================================================================
#DATASET        M0241002 
#NOW            2022/01/17:06:06:20
#SUBENT         M0241002   20090323
#ENTRY          M0241      20090323
#AUTHOR1        W.A.Lochstet+
#YEAR           1966
#X4REF1         J,PR,141,1002,1966
#REFERENCE1     Jour: Physical Review, Vol.141, p.1002 (1966)
#REACTION       6-C-12(G,N)6-C-11,,SIG
#D4REAC         R0#
#C4Reaction     (G,N),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        ERR-S       EN          EN-RSL      
!MB          MB          MEV         MEV         
!Y.Value     Y.sErr+-    X1.Value    X1.Resl+-   
!0.1         0.944       1.1         1.922       
!variable    variable    variable    variable    
!0.001       0.001       1000000.0   1000000.0   
!B           B           EV          EV          
#DATA           96          4           12
 0.77        0.11        20.11                   
 0.76        0.12        20.19                   
 0.87        0.13        20.26                   
 0.98        0.04        20.28                   
 1.09        0.15        20.36                   
 1.          0.26        20.47                   
 1.09        0.17        20.49                   
 1.25        0.28        20.55                   
 1.23        0.09        20.61                   
 1.48        0.1         20.65                   
